"keys","pt","en","es","fr","de","it","nl","pl","sv","da","nb","fi","cs","hu","ro","tr","ru","uk","ja","ko","zh"
"EST_REVELADAS","Imagens reveladas","Pictures revealed","Imágenes reveladas","Images révélées","Enthüllte Bilder","Immagini rivelate","Onthulde afbeeldingen","Odkryte obrazy","Avslöjade bilder","Afslørede billeder","Avslørte bilder","Paljastetut kuvat","Odhalené obrázky","Felfedett képek","Imagini dezvăluite","Açılan resimler","Открыто картинок","Відкрито зображень","公開した絵","밝힌 그림","已揭示图画"
"EST_TEMPO","Tempo somado","Total time","Tiempo total","Temps total","Gesamtzeit","Tempo totale","Totale tijd","Łączny czas","Total tid","Samlet tid","Total tid","Kokonaisaika","Celkový čas","Összidő","Timp total","Toplam süre","Общее время","Загальний час","合計タイム","총 시간","总用时"
"EST_TITULO","Seus números","Your stats","Tus datos","Vos statistiques","Deine Zahlen","I tuoi dati","Jouw cijfers","Twoje statystyki","Din statistik","Dine tal","Din statistikk","Tilastosi","Tvá čísla","Statisztikád","Datele tale","İstatistiklerin","Ваша статистика","Ваша статистика","記録","기록","你的数据"
"FASES_A_REVELAR","a revelar","to reveal","por revelar","à révéler","zu enthüllen","da rivelare","te onthullen","do odkrycia","att avslöja","at afsløre","å avsløre","paljastettava","k odhalení","felfedésre","de dezvăluit","açılacak","открыть","відкрити","未開放","밝힐 그림","待揭示"
"FASES_BLOQUEADA","bloqueada","locked","bloqueado","verrouillé","gesperrt","bloccato","vergrendeld","zablokowane","låst","låst","låst","lukittu","zamčeno","zárolva","blocat","kilitli","закрыт","закрито","ロック中","잠김","已锁定"
"FASES_NAO_REVELADA","Ainda não revelada","Not revealed yet","Aún sin revelar","Pas encore révélée","Noch nicht enthüllt","Non ancora rivelata","Nog niet onthuld","Jeszcze nieodkryte","Ännu inte avslöjad","Endnu ikke afsløret","Ikke avslørt ennå","Ei vielä paljastettu","Zatím neodhaleno","Még nincs felfedve","Încă nedezvăluită","Henüz açılmadı","Ещё не открыта","Ще не відкрито","まだ未公開","아직 밝혀지지 않음","尚未揭示"
"FASES_PENDENTES","A resolver","Unsolved","Sin resolver","À résoudre","Offen","Da risolvere","Onopgelost","Do zrobienia","Olösta","Uløste","Uløste","Ratkaisematta","K vyřešení","Megoldatlan","De rezolvat","Çözülmemiş","Не решённые","Нерозв'язані","未クリア","미완료","未完成"
"FASES_SEM_TRES","Sem 3 estrelas","Not 3 stars","Sin 3 estrellas","Sans 3 étoiles","Ohne 3 Sterne","Senza 3 stelle","Geen 3 sterren","Bez 3 gwiazdek","Utan 3 stjärnor","Uden 3 stjerner","Uten 3 stjerner","Ei 3 tähteä","Bez 3 hvězd","Nincs 3 csillag","Fără 3 stele","3 yıldızsız","Без 3 звёзд","Без 3 зірок","星3つ未満","별 3개 미만","未满三星"
"FASES_TODAS","Todas","All","Todas","Toutes","Alle","Tutti","Alle","Wszystkie","Alla","Alle","Alle","Kaikki","Vše","Mind","Toate","Tümü","Все","Усі","すべて","전체","全部"
"FASES_VAZIO","Nenhuma fase neste filtro.","No levels match this filter.","Ningún nivel con este filtro.","Aucun niveau pour ce filtre.","Keine Level für diesen Filter.","Nessun livello con questo filtro.","Geen levels met dit filter.","Brak poziomów dla tego filtra.","Inga nivåer med detta filter.","Ingen niveauer med dette filter.","Ingen nivåer med dette filteret.","Ei tasoja tällä suodattimella.","Žádné úrovně pro tento filtr.","Nincs szint ehhez a szűrőhöz.","Niciun nivel pentru acest filtru.","Bu filtrede bölüm yok.","Нет уровней по этому фильтру.","Немає рівнів за цим фільтром.","この条件のステージはありません。","이 필터에 맞는 레벨이 없습니다.","没有符合筛选的关卡。"
"GALERIA_CONTAGEM","%d de %d imagens reveladas","%d of %d pictures revealed","%d de %d imágenes reveladas","%d images révélées sur %d","%d von %d Bildern enthüllt","%d di %d immagini rivelate","%d van %d afbeeldingen onthuld","%d z %d obrazów odkrytych","%d av %d bilder avslöjade","%d af %d billeder afsløret","%d av %d bilder avslørt","%d/%d kuvaa paljastettu","%d z %d obrázků odhaleno","%d / %d kép felfedve","%d din %d imagini dezvăluite","%d/%d resim açıldı","Открыто картинок: %d из %d","Відкрито зображень: %d з %d","%d/%d 枚の絵を公開","%d / %d 그림 공개","已揭示 %d / %d 幅"
"JOGO_AJUDA_CONTROLES","botão esquerdo pinta  ·  botão direito marca X  ·  arraste preenche em linha","left click fills  ·  right click marks X  ·  drag fills in a line","clic izquierdo pinta  ·  clic derecho marca X  ·  arrastra para llenar en línea","clic gauche remplit  ·  clic droit marque X  ·  glisser remplit en ligne","links füllen  ·  rechts X setzen  ·  ziehen füllt eine Linie","clic sinistro riempie  ·  destro segna X  ·  trascina per riempire in linea","links vult  ·  rechts zet X  ·  slepen vult een lijn","lewy przycisk maluje  ·  prawy stawia X  ·  przeciągnij, by wypełnić linię","vänsterklick fyller  ·  högerklick sätter X  ·  dra fyller en linje","venstreklik fylder  ·  højreklik sætter X  ·  træk fylder en linje","venstreklikk fyller  ·  høyreklikk setter X  ·  dra fyller en linje","vasen täyttää  ·  oikea merkitsee X  ·  raahaa täyttää rivin","levé tlačítko maluje  ·  pravé značí X  ·  tažením vyplníš řadu","bal gomb fest  ·  jobb gomb X-et tesz  ·  húzással sort tölt","clic stânga umple  ·  clic dreapta marchează X  ·  trage pentru a umple un rând","sol tık boyar  ·  sağ tık X koyar  ·  sürükleyerek satır doldur","ЛКМ закрашивает  ·  ПКМ ставит X  ·  перетаскивание заполняет линию","ЛКМ зафарбовує  ·  ПКМ ставить X  ·  перетягування заповнює лінію","左クリックで塗る  ·  右クリックで×  ·  ドラッグで一列","왼쪽 클릭 칠하기  ·  오른쪽 클릭 X  ·  드래그로 한 줄","左键填涂  ·  右键标记 X  ·  拖动填整行"
"JOGO_DESFAZER","Desfazer","Undo","Deshacer","Annuler","Rückgängig","Annulla","Ongedaan maken","Cofnij","Ångra","Fortryd","Angre","Kumoa","Zpět","Visszavonás","Anulează","Geri al","Отменить","Скасувати","もどす","되돌리기","撤销"
"JOGO_DICA","Dica","Hint","Pista","Indice","Tipp","Suggerimento","Hint","Podpowiedź","Ledtråd","Hint","Hint","Vihje","Nápověda","Tipp","Indiciu","İpucu","Подсказка","Підказка","ヒント","힌트","提示"
"JOGO_DICA_AJUDA","Revela uma célula. Abre mão das 3 estrelas.","Reveals one cell. Gives up the 3 stars.","Revela una celda. Renuncia a las 3 estrellas.","Révèle une case. Renonce aux 3 étoiles.","Deckt ein Feld auf. Verzichtet auf 3 Sterne.","Rivela una cella. Rinuncia alle 3 stelle.","Onthult één vakje. Je verliest de 3 sterren.","Odkrywa jedno pole. Rezygnujesz z 3 gwiazdek.","Avslöjar en ruta. Du ger upp 3 stjärnor.","Afslører et felt. Du giver afkald på 3 stjerner.","Avslører én rute. Du gir opp 3 stjerner.","Paljastaa yhden ruudun. Luovut 3 tähdestä.","Odhalí jedno pole. Vzdáváš se 3 hvězd.","Felfed egy mezőt. Lemondasz a 3 csillagról.","Dezvăluie o celulă. Renunți la 3 stele.","Bir kareyi açar. 3 yıldızdan vazgeçersin.","Открывает одну клетку. Вы теряете 3 звезды.","Відкриває одну клітинку. Ви втрачаєте 3 зірки.","マスを1つ開きます。星3つはあきらめます。","칸 하나를 밝힙니다. 별 3개를 포기합니다.","揭开一格。将无法获得三星。"
"JOGO_FASE","Fase","Level","Nivel","Niveau","Level","Livello","Level","Poziom","Nivå","Niveau","Nivå","Taso","Úroveň","Szint","Nivel","Bölüm","Уровень","Рівень","ステージ","레벨","关卡"
